<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.13	1.42552	1.43793	1.41865	1.43521	133549	0	0
2016.01.14	1.43523	1.43967	1.43337	1.43429	139886	0	0
2016.01.15	1.43430	1.45530	1.43428	1.45317	135617	0	0
2016.01.17	1.46002	1.46025	1.45611	1.45798	3861	0	0
2016.01.18	1.45791	1.45822	1.44857	1.45436	120506	0	0
2016.01.19	1.45426	1.45882	1.44310	1.45660	147968	0	0
2016.01.20	1.45664	1.46892	1.44700	1.44705	185997	0	0
2016.01.21	1.44696	1.45395	1.42270	1.42696	194006	0	0
2016.01.22	1.42697	1.42992	1.41140	1.41283	155990	0	0
2016.01.24	1.41431	1.41485	1.41325	1.41425	5681	0	0
2016.01.25	1.41439	1.42982	1.41255	1.42982	152688	0	0
2016.01.26	1.42983	1.43248	1.40439	1.41204	162855	0	0
2016.01.27	1.41204	1.41557	1.40268	1.40974	174283	0	0
2016.01.28	1.40975	1.41218	1.39470	1.40358	183579	0	0
2016.01.29	1.40375	1.41082	1.39670	1.39708	169614	0	0
2016.01.31	1.39716	1.39884	1.39701	1.39729	3671	0	0
2016.02.01	1.39729	1.40614	1.39075	1.39538	143199	0	0
2016.02.02	1.39539	1.40813	1.39501	1.40666	138247	0	0
2016.02.03	1.40661	1.41020	1.37560	1.37930	170778	0	0
2016.02.04	1.37924	1.37924	1.36383	1.37573	162051	0	0
2016.02.05	1.37574	1.39175	1.37088	1.39165	109000	0	0
2016.02.07	1.38975	1.39025	1.38687	1.38849	11744	0	0
2016.02.08	1.38853	1.39775	1.38400	1.39277	159050	0	0
2016.02.09	1.39279	1.39595	1.37858	1.38826	184138	0	0
2016.02.10	1.38840	1.39979	1.38194	1.39228	197663	0	0
2016.02.11	1.39218	1.40155	1.38819	1.39167	234924	0	0
2016.02.12	1.39184	1.39645	1.38122	1.38562	156742	0	0
2016.02.14	1.38502	1.38589	1.38352	1.38371	4309	0	0
2016.02.15	1.38370	1.38511	1.37973	1.38215	107419	0	0
2016.02.16	1.38223	1.39107	1.37059	1.38594	168404	0	0
